File Name,Skills,Certifications,Tools,Additional Expertise
Resume_237," - account management - cables - cabling - Help Desk - Linux - MS Exchange server - Sharepoint - network security - desktop support - Unix - HP Unix - VBscript - Visual Basic Programming - Windows Server - Active Directory account management - MS Exchange server 2010 - network/server security - Geographic Information system - group policy SCOM & SCCM - vbscripts and Powershell - SANs - Hyper V - Proofpoint Spam filter - iBoss web filter - System Center Operations manager - EMC Networker backup - Lync 2013 - Skype for Business - Track It work orders - Escape Financial System - Aeries student information system - Alertus Desktop alerting - Laserfiche - Sharepoint 2013 - Informacast Speaker System - ArcGIS desktop and server - Maas360 mobile phone management - Azure - TCP/IP utilities (ping, tracert, ipconfig) - Whats up network device connectivity monitoring - Blackberry Enterprise server - Fedora Core Linux - Multi Router Traffic Grapher - Windows 2003 domain controllers - Renaissance Learning and Read 180 servers - Xiotech SAN - TNT network security appliance - Dos and VBScript scripting - Group policy - Ghost software", - Exchange: week long course - EMC Networker: week long course - ArcGIS: week long course - Windows 2012 - Powershell: week long course," - Hyper V - SANs (Nimble, Dell Equallogic, StorSimple) - Alertus desktop alerting system - Powershell - VBScript - Vsphere - HP network switches - Whats up network device connectivity monitoring software - Blackberry Enterprise server - Fedora Core Linux - Multi Router Traffic Grapher - Windows 2003 domain controllers - Renaissance Learning and Read 180 servers - Xiotech SAN - TNT network security appliance - Ghost software - Microsoft Office - Skype for Business - Track It work orders - Escape Financial System - Aeries student information system - Laserfiche - Sharepoint 2013 - Lync 2013 - iBOSS web filter - Proofpoint Spam filter - Exchange 2010 DAG and Client Access Array - Informacast Speaker System - Microsoft System Center and Operations Manager - EMC Networker backup software - ArcGIS desktop and server - Maas360 mobile phone management - Azure"," - Installed and maintained over 100 servers - Installed and maintained a Hyper V cluster of 9 nodes - Managed Active Directory user accounts and troubleshot Active Directory replication issues - Assisted with selecting and recommending Alertus desktop alerting system - Worked with users on high-level technical issues to analyze and take corrective action - Performed new employee technology orientations and cellphone training - Installed and configured HP network switches, programmed switch ports and assigned VLANs - Connected network wall ports and terminated network cables - Troubleshot network port communication errors - Installed and maintained Whats up network device connectivity monitoring software - Installed and maintained Blackberry Enterprise server for MS Exchange server - Wrote DOS and VBScript scripts to automate functions like student user account creation - Utilized group policy to secure workstations or install new software - Implemented the district Geographic Information system by recommending and working with ArcGIS - Communicated with teachers, managers and students - Installed and supported a variety of software including antivirus, Office, Fortress desktop security, Rosetta Stone, Escape financial system and other education software - Used Ghost software to image computers"
Resume_408, - Charting and recordkeeping - Child abuse prevention - Understands developmental disorders - Active listener - First aid certificate - Basic clerical knowledge - Reliable and punctual - Friendly - Cheerful and energetic - Teamwork oriented - Housekeeping, - First aid certificate, - Computers (used for record-keeping), - Enthusiastic people person - Problem-solving - Organizational skills
Resume_1662," - Administrative - Assistant Manager - Clarify - Drafting legal documents - English - Forms - Grant proposals - Human resources - Inventory - Law - Research & write briefs, opinions, & laws - Litigation - Management - Mediation - Conduct meetings - Merchandising - Office - Operations - Policies - Real estate - Receiving - Sales - Settlements - Utilities"," - Over 100 hours mediation training, American Mediation Association - Annual requirement of 12 hours Continuing Legal Education since 1984"," - Legal research and writing - Depositions and discovery - Preparing legal documents (wills, deeds, mortgages, leases, agreements) - Probate and estate planning - Negotiating settlements"," - Expertise in contracts, divorce mediation, elder care, employment, estates, family law, probate, property law, trusts, and wills - Awarded $100,000 from Gund and Cleveland Foundations to initiate Cuyahoga County Juvenile Court's Custody Mediation Program - Published articles on mediation and the ethical use of paralegals"
Resume_1175," - Multiple Facility Management and Oversight - ASC Administrator Mentoring, Training and Development - Revenue Cycle Management - Vendor Negotiations - Budget Creation and Analysis - Diverse Market and Industry Knowledge - Process improvement, QAPI Program Support - Accreditation Preparation - Payer Contracting Negotiations", - None explicitly mentioned," - Billing systems - Charting systems - Human Resource manuals - OSHA manuals - Mini OR for IVF egg retrievals - Accounting system - IT policies and procedures - MRI, CT and Ultrasound equipment - Billing software - Computer hardware"," - Helped clients establish new practices - Provided management to physician offices - Provided consultation services on various aspects of running a medical practice - Mentored Materials Manager and other ASC Administrators - Negotiated contracts with health plans, subcontracted providers, and Independent Physician Associations (IPAs) - Implemented incentive programs to increase staff productivity - Handled profit and loss responsibility - Assisted with mergers and acquisitions - Obtained JCAHO and ACR accreditations - Served as Ombudsman for the US Navy and assisted Navy families - Trained as a first responder with the American Red Cross"
Resume_915, - Excellent classroom management - Experience working with special needs students - Effectively work with parents - Motivating students - Innovative lesson planning - Positive atmosphere promotion - Advise students on academic and vocational curricula and on career issues, - Subject Matter Authorization in Science: Science (2016) - Crosscultural Language and Academic Development Certificate (2005), - Diploma program development for Adult Education - Lesson planning and introduction of new learning methods," - Material development, including creating college prep lessons and developing new courses - Plan development for balanced programs of instruction, demonstration, and work time - Goal setting and clear communication of objectives and expectations - Parent communication and student-centered curriculum planning"
Resume_530, - adaptive equipment - administrative duties - appointment setting - agency - blood pressure - CNA - consultant - CPR (Certified) - first aid - Home Care - team building - meal prep - Medical terminology - medication management - meetings - bathing - policies - quality - record keeping - recording - scheduling - supply inventory - teaching - phones - therapy - vision - wounds - written communication, - CPR (Certified) - Certified CNA/HHA & Medical Assistant, - Computerized applications for scheduling and various administrative duties - Hyperbaric chamber and other hyperbaric support systems, - Critical thinker - Understands medical procedures - Effectively influences others - Good written communication - Relationship and team building - Medical terminology knowledge - Cultural awareness and sensitivity - Maintains strict confidentiality
Resume_2007," - Construction Estimating / Management - Procore Project Management - Primavera Project Scheduling P2 - Microsoft Word, Microsoft Excel, Microsoft Project - Field Operations / Inspections - Troubleshooting/ Problem Solver - Quality Control / Inspection - Team Building / Leadership - Project Coordination / Development - OSHA Regulation / Project Safety - Cost / Profit Analysis - Civil Engineering - Project Planning and Development - Project supervision", - OSHA -62 Hour Site Safety Supervisor - 30 – Hour OSHA Construction Safety & Health Certificate - 8 Hour Site Safety Manager Refresher/ Chapter 33 Certificate - 8 Hour - NYC DOB SST: Fall Prevention Training - 4 HR -NY DOB SST- Supported Scaffold User and Refresher Training - 8 HR- OSHA Prescribed SST Courses Bundle - 4 HR- OSHA SST Elective Certified Soil Inspector - Working on NYCDOB superintendent licensee, - Procore - Primavera Project Scheduling P2 - Microsoft Word - Microsoft Excel - Microsoft Project," - Extensive experience as a General Construction Project Manager - Directed and organized multi-million dollar construction projects and renovations - Optimized operations and profits for full-scale projects - Oversaw multi-trade construction teams - Proficient in project management, estimating, planning, data/profit analysis, resourcing, organizational networking, professional development, fieldwork supervision, and leadership - Experienced in a variety of construction environments including power plants, government, healthcare, housing, and educational settings - Skilled in troubleshooting field issues and design conflicts - Adept at building and maintaining productive relationships with construction teams and third parties - Mentors and leads by example as a team player"
Resume_2190," .Net, Agile, Apple, approach, ask, banking, basic, benefits, book, Browsers, content, credit, clients, Databases, database, debit, documentation, XML, fast, Finance, financial, Functional, funds, GUI, HP, Internet Explorer, Inventory, Inventory Management, Apple Mac, meetings, Mercury Interactive, MS Excel, Microsoft Office, Windows 7, Windows, WIN 7, 2000, Windows 95, 98, NT, Windows XP, Operating Systems, OS, Oracle, PCI, POS, Quality, quality assurance, QA, Requirement, retail, scrum, SDLC, scripts, Specification, SQL, SQL Server, Test Director, upgrades, Vendor Management",None mentioned," Quality Center, JIRA, Oracle, SQL Server 2005/2008, Internet Explorer, Firefox, Chrome, Safari, Mercury Interactive Tools (HP): Test Director, Quality Center, ALM, Apple-IOS, Android, Windows"," - 4+ years of experience as a Quality Assurance Analyst - Experience with various levels of testing such as Functional, Regression, System, User Acceptance, Performance, and Smoke testing - Experience testing applications based on different architectural platforms (Client/Server, Web-based, SAAS) - Industry experience in Finance, Banking, Retail, and Healthcare - Well-versed in Agile, Agile Scrum, Waterfall, and V-Model methodologies - Experience communicating with stakeholders and dealing with different teams (offshore and onsite) - Experienced in creating Test Plans, Test Scenarios, and executing Test Cases - Knowledgeable in Software Development Life Cycle (SDLC), Software Testing Life Cycle (STLC), and Defect Management Life Cycle (DMLC) - Experience in backend database testing using SQL queries - Developed and maintained quality control metrics - Strong analytical, communication, organizational, and planning skills - Ability to handle multiple tasks in a dynamic environment - Proficient in English, Hindi, and Urdu"
Resume_1054,"communication skills, Creative problem solver, MS Windows, Quick learner, sales, phone",None mentioned,publisher,"Volunteer work involving public contact, public speaking, and extensive record keeping"
Resume_2071," - MS Office Suite: Word, Excel, Access, PowerPoint, Project Pro - Cision - Google Analytics - Lexis Nexis - Fashion - Branding - Budgets - Content creation - Client management - Direction - Editorial - Email - Event planning - Special events - Financial - Functional - GPS - Image - Leadership - Marketing - Marketing communications - Media plans - Media relations - Merchandising - Press - Press releases - PR - Project plans - Public Relations - Public speaking - Retail - Sales - Speeches - Strategy - Strategic - TV - Video",None mentioned," - Cision - Google Analytics - Lexis Nexis - MS Office Suite: Word, Excel, Access, PowerPoint, Project Pro"," - Native fluency in Spanish - Experienced in managing PR agency teams - Managed large PR and social media budgets (up to $1.5M annually) - Successful in driving brand awareness and sales through PR campaigns - Skilled in developing and executing communications plans, media relations, event planning, and social media strategies"
Resume_2274, - Customer Service - Management - Inventory Management - Communication, - OSHA 40 Hour HAZWOPER Certification, - ArcGIS Program - Water Quality Testing - Stream Assessment - Tree Inventory, - Environmental Technology and Management - Phase III Environmental Site Assessment
Resume_2470," - Fiber Optics Repair Technical Skill Set - Formal Training: Learjet 24, Piper Cherokee, AeroCommander 520, and Cessna 310 Airframe and Powerplant systems - Inspections, troubleshooting, and airworthiness determinations made on aircraft utilizing technical publications, FAR's, manufacturer maintenance manuals, part catalogs and schematics - Inspection, repair, installation and troubleshooting on turbine, turboshaft, reciprocating engines, and systems therein including: Induction, Exhaust, Fuel, Ignition, Electrical, Communication/Navigation, Ice and Rain, Instruments and APU - Maintenance and inspections on Hydraulic/Pneumatic systems, Electrical, Fire protection, Flight controls, and Interiors - Fabrication of airfoils (sheet metal and composite) from blue print drawings - Registration marking and painting of aircraft surfaces - Project Management - Managerial skills - Time management - Public speaking - Organizational Skills - MS Office"," - Master Certificate in Six Sigma from Villanova University - Certified Lean Six Sigma Black Belt from Villanova University - Airframe and Powerplant Mechanics license issued by the FAA - FCC Elements 1, 3, & 8 - FCC GROL or General Radiotelephone Operator license with ship radar endorsement - FCC Commercial Operators License (Marine Radio Operator Permit)"," - Technical publications, FAR's, manufacturer maintenance manuals, part catalogs and schematics - Test benches and equipment - Schematics and diagrams - Electronic test equipment", - Troubleshooting and repairing solid state devices - Inspecting and maintaining electronic test equipment - Monitoring and safeguarding classified material and Embassy personnel - Diffusing hostile situations and investigating security and safety violations - Writing detailed incident reports
Resume_807," - Teamwork - Leadership - Ocean Safety Knowledge - Customer Service/Hospitality - Basic Japanese Speaking (greetings & customs) - Knowledge of Characteristics associated with Pricing Diamonds, Rare Gemstones, Sunrise shells - Tactics and Techniques for Executive Protection and Transportation of High Value Items - Scheduling business meetings, coordinating travel arrangements - Assisting with daily operations and monitoring employee production - Maintenance management for tour buses - Ensuring compliance with transportation regulations - Overseeing tour drivers and their clearances - Coordinating tour routes and schedules - Sales of special brand men's aloha shirts - Cashier and inventory management - Modeling men's aloha t-shirts - Safe and effective personal training - Payroll management - Conducting training groups - Selling club memberships and personal training - Opening and closing store - Training new employees on operations and policies - Reservation management and ground demonstrations - Water safety techniques and CPR - Providing basic first aid - Tactical helicopter aircrewman - Door gunner (M240D, .50 Cal Gau 16) - Anti-submarine warfare systems (acoustic/non-acoustic) - Airborne radar operator/sensor operator", - CPR qualification - Naval Aviation Systems Warfare Pin - Expert Pistol Marksmanship Medal - Expert Rifle Marksmanship Medal - Enlisted Aviation Warfare Pin, - TWIC (Transportation Worker Identification Credential) - CDL (Commercial Driver's License), - Tactical Operator of the Quarter - Scored highest on Search and Rescue Physical Evaluation and academic portion - Featured in FUTURES Magazine and on Today's Military.com - Diving with a Navy Search-and-Rescue Swimmer
Resume_254," - Issue escalation - Reporting and analysis - Quality control - Schematic understanding - Critical thinking - Data management - Network Administration - Experience in leadership - Improvement plan knowledge - Supervision - Hardware repair - Computer configurations - System upgrades - New program installations - Organizational leadership - Troubleshooting and Maintenance - Equipment repair - Power and hand tool use - Troubleshooting and repairs - Preventative maintenance - Telecommunications systems - Component repairs - Multitasking - Part inspections - Friendly, positive attitude - LAN and WAN configurations - Server and System Administration - End-User Training - Program installations - Software testing - Server improvements - Data backups - Project management - Security technologies - Network configuration - Time management - Active Directory knowledge - Cybersecurity analysis - System Administration - Microsoft Office - MS Office - Apple iOS Technician - Help desk assistance - Application software testing - Mechanical abilities - Information Systems Security Professional - Advanced knowledge of Windows OS - Advanced knowledge of Google Chrome OS - Soldering - Database management - Technical knowledge of server system softwares - Servers, storage systems, network equipment, PCs or notebooks of any brands", - F.A.A Aircraft Dispatcher License - Cybersecurity Policy For Aviation And Internet - Google IT Support Certificate, - Servers - Storage systems - Network equipment - PCs - Notebooks - Windows OS - Mac OS - Chrome OS - Linux - VMware," - Quality assurance testing with 5 years of experience - Experienced operations analyst with skills in organizing, problem solving, and project management - Passionate and driven professional with analytical and problem-solving skills - Collaborative style with well-developed communication skills - Blend of technical aptitude and creative ability - Resourceful in restoring system functionality"
Resume_1578, - Hyperion Planning - Essbase - SAP R/3 - Oracle 11 - SAP BPC - Business Objects - Sharepoint - MS Office,None mentioned, - Hyperion Planning - Essbase - SAP R/3 - Oracle 11 - SAP BPC - Business Objects - Sharepoint, - Financial planning and analysis - Financial modeling - Process improvement - Strategic planning and goal setting - Budgeting and forecasting - Variance analysis - Headcount and cost management - Dashboard and reporting development - Systems implementation and coordination - Collaborative leadership and team management
Resume_889," - Vast knowledge of strains and their effects - Trimming experience - Professional, friendly and clean - Careful and active listener - Cash handling and POS system knowledge - Microsoft Word literate - Customer service oriented", - Medical Marijuana Recommendation (Valid), - POS system - Microsoft Word, - Trimming experience
Resume_1127," SQL, HTML, ASP, MySQL, PHP, .NET, AJAX, C#, Contracts, MS SQL Server, SQL Server, OS/2, Real-time, Database, UNIX, C++, Fortran, LAN, Mapping, Test Lead, TPF, Assembly, Client/server, Collections, Credit, Customer Support, DB2, dBase, IBM Mainframe, Project Management, REXX, TCP/IP, Wafer, Systems Analyst, Oracle, Web-based, Flash, Inventory, Inventory Control, Performance Tuning, Software Engineer, System Testing, Unit Testing, Linux, Operations, Red Hat, Btrieve, FoxPro, Java, Visual Basic, Delphi, JavaScript, Algorithm, Architecture, Database Design, Digital Design, Systems Programming"," - United States Patent Number 5,758,052 in May 1998 for Network Management Method Using Redundant Control Processors - United States Patent Number 5,491,791 in February 1996 for System and Method for Remote Workstation Monitoring Within a Distributed Computing Environment"," ASP, PHP, SQL, MySQL, C#, .NET, AJAX, HTML, C, C++, Java, SQL Server, OS/2, Presentation Manager, Database Manager, VB, Delphi, JavaScript, Lotus 123, TCP/IP, DB2/2, VX-REXX, OS/2 PM, GPF, dBase, Oracle, Btrieve"," - Master's degree in Computer Science - 25 years of experience designing, implementing, and maintaining computer programs, architectures, and operating systems - Expertise in C, C++, Java, SQL, and web-based applications - Over 10 years of experience teaching as adjunct or full-time faculty - Ran a consulting firm - Awarded two U.S. patents - Received a Dean's Scholarship at the University of Pittsburgh towards a Ph.D. degree - Worked as a Teaching Assistant at the University of Pittsburgh for Operating Systems - Experienced in programming for the defense industry, including real-time analysis for submarine warfare and mapping for the Defense Mapping Agency"
Resume_1639, - Microsoft Office Suite - Datatel - Power Campus - BlackBoard - Student Affairs Record System (SARS) - ImageNow - Siemens (Call Center Software) - Accounting - Budgeting - Payroll - Scheduling - Customer Service - Supervision - Administrative Support - Streamlining - Benchmarking - Billing - Filing - Forms - Grants - Hiring - Imaging - Insurance - Layout design - Meetings - Mentoring - Microsoft Project - Microsoft Publisher - Pricing - Receptionist - Visio - Written communication, - Completed CQI Training, - CASmate - CASwin - SARS (Scheduling management system)," - Academic support - Effective communication with students, parents, staff, and faculty - Maintaining balance between student appointments and academic/college-wide responsibilities - Developing metrics and report templates - Monitoring budgets and compliance - Streamlining processes - Providing technology support and training"
Resume_1207, - Front Arena - Adaptiv - Opics - Excel - PowerPoint - Word - Access - SQL - Python,None mentioned, - Front Arena (Trading STP solution) - OPICS (Operations solution)," - Financial/Business Analyst with over 15 years of experience in the financial sector - Proven problem solver specializing in operational workflow designing and streamlining - Subject Matter Expert in Front, Middle, and Back Office workflows - Innovative thinker in identifying and remedying gaps between business processes and technology - Detailed knowledge of traded financial instruments including Fixed Income Securities, Derivatives, FX, Equities, and Commodities - Expertise in Hedge Accounting (FAS 133 & 157, and IAS 39 & FRS 9) - Proficient in designing accounting schemas compliant with FASB and IFRS - Experienced in providing consulting services for capital market front-to-back processing and financial reporting - Expertise in Dodd-Frank trading, settlement and clearing regulations - Successful in selling and implementing solutions in Latin American and Asian markets - Adept at reengaging with less-than-satisfied clients by redesigning workflows - Contributed to expanding functional capabilities by working with rapid development teams"
Resume_1398," advertising, Budgeting, Budget, Bi, Business Plan Development, Consultation, Contract Negotiations, Customer Service, Customer Service Training, delivery, documentation, special events, Fast, Financial, forecasting, hiring, inventory control, Layout, Logistics, Marketing Plan, marketing, Meetings, Merchandising, negotiations, Organizer, performance reviews, Policies, Procurement, Purchasing, Quality, radio, Retail, SALES, Sales Forecasting, Shipping, Staff Training, Strategic, Supervision, Author"," - American Culinary Federation # 234185 C.E.C. - SERVE SAFE #7361161 - HACCP - USDA/FDA - Alaska, Washington and Oregon Food Handler's Card - TIPS/TAMS Certification - National Restaurant Association - Pro-Start Mentor/Coach - NSTC Certification - First-Aid, CPR & AED - TWIC - FAA Security Clearance - Merchant Mariner's Documents- United States Coast Guard"," - FIFO (First In, First Out) - HACCP (Hazard Analysis and Critical Control Points) - Serve-Safe - Alcohol Service standards - Restaurant Systems and Policies - Budgeting & Financial Controls - Sales Floor Merchandising/Planograms - Recipe Development/Menu Engineering - Corporate Menu Development - Procurement/Logistics - Food Brokerage and Shipping - Vendor Relationships - Culinary Unions - Galley operations - Budget forecasting - Franchisee operations (QSR and Fast Food) - Food & Beverage Operations - Wine & Beverage service - Kitchen Systems - Sales Forecasting and Ordering Trends - Sales Incentive Programs - Radio show"," - Extensive experience in the hospitality and food service industry, including roles as an Executive Chef, Corporate Chef, and Sales/Marketing professional - Expertise in managing large-scale food service operations, including work force camps, commercial fishing crews, and multiple restaurant locations - Proficient in menu development, cost control, procurement, and logistics - Skilled in staff training, employee management, and customer service - Experience in business plan development, marketing, and strategic planning - Knowledge of industry regulations and certifications (HACCP, Serve-Safe, etc.) - Internship experience at renowned restaurants like Rossellini's 410 and Trotter's Restaurant - U.S. Naval Culinary Training and membership on the U.S. Naval Culinary Team"
Resume_2385, - Computers - SQL - Customer Support - Database - Networking - Oracle - PL/SQL - Project Management - Software Configuration - Aviation - Web Based - Technical Support - Data Entry - Documenting - Quality Assurance - Subject Matter Expert - Testing - Training - Analyst - Aircraft Maintenance - SaaS - Crystal Reports - Excel - Linux/Unix - Microsoft Project - Microsoft Word - MS Project - Outlook - Python - Remedy - Scanning - Unix - Word - Enterprise Resource Planning, - Earned Technical Certificate for IT Customer Support Specialist from Florida State College of Jacksonville, - SkyBOOKs aviation maintenance tracking application - NTCSS Desktop II - Aviation Financial Analysis Tool (AFAST) - Advanced Skill Management (ASM) application - SQL - Spreadsheets - Graphical tools - Narrative and oral presentations," - Highly organized and detailed-oriented - Fluent communicator - Customer service expert - Extensive technical knowledge - Proven problem solver - Deadline-oriented - Meticulously researched and analyzed over 200 aviation logbooks and maintenance documentation - Expertly examined aircraft engine and component maintenance manuals - Increased analytical focus leading to significant improvements in component turnaround time and corrosion man-hour documentation - Implemented and managed the AFAST application, saving the command over $3.7 million"
Resume_252," - Languages: Chinese, English, Japanese - Microsoft Office: Excel, PowerPoint, Word, Outlook - Adobe Suite: Flash, Photoshop, Illustrator - Programming Languages: PHP, Java, C#, Visual Basic, HTML - Other Skills: Coding, Programming, Customer Relationship Management (CRM), ERP System, RFID, E-Commerce, Electronic Product Code (EPC), Financial Accounting, Human Resources, Business Marketing, International Trade (Import and Export), App Development, SEM, Analysis, QMS, Statistics, Healthcare", - None mentioned, - SQL - 3D Max - Customer Relationship Management (CRM) - ERP System - RFID - E-Commerce - Electronic Product Code (EPC)," - Business Analysis - Tourism and Hospitality (worked with Tourism Bureau) - Event Planning (planned cultural events) - Retail and Sales (expanded business sites, launched custom dress line) - Volunteer Work (planned camps for underprivileged kids)"
Resume_1385, - Army - basic - budgets - Budget - concept - contracts - data base - driving - financial - Government - inspection - instruction - inventory - leadership - logistics - managment - Office - weapons - Next - Oracle - personnel - Recruiting - reporting - requirement - safety - supervising 4 - telephone - training programs - upgrades - urinalysis,None mentioned, - Oracle data base systems - Government Commercial Purchase Card (GCPC) program - Statement of Budgetary Resources (SBR) Audit, - Operations management - Client-focused - Excel in various areas of expertise - Financial records and processing - Contract negotiation/review/drafting - Quick learner - Computer proficient - Reports generation and analysis - Contract auditing - Training and development - Change management
Resume_443, - Public Safety - Administrative Support - Proficient in Lytec - Proficient in GSuite - Patient rights - Data entry - Time management - Problem-solving skills - Decision-making abilities - Crisis intervention - Crisis communication, - CPR Certified (2015-2016) - First Aid Training (2015), - Lytec (scheduling and managing patient appointments) - CCTV cameras (for security monitoring) - Surveillance equipment, - Helped vulnerable individuals navigate complex healthcare system - Developed and implemented training classes to educate team members and community residents - Resolved patient flow problems and improved operations - Provided exceptional client support - Collaborated with law enforcement and federal investigators - Addressed behavioral and learning issues with parents and daycare management - Encouraged good behaviors using positive reinforcement - Organized structured learning activities for students
Resume_422, - Teaching - Lesson Planning - Special Education - Social Studies - History - Teamwork/Collaboration - Learning Styles - World History - Motivating and inspiring children - Resourcefulness and creativity - Excellent organizational skills - Good communication skills - Building positive relationships with parents, - Reading Endorsement - Gifted - in Field, - Instructional Programs - Culturally Responsive Teaching - Culturally responsive educational techniques - Techniques to integrating technology - Multimedia learning tools," - Ability to teach higher order thinking skills - Providing a challenging curriculum to gifted students - Developing life skills programs for low-achieving students - Serving in leadership roles such as fourth grade chairman, Building Leadership team, and Block-Scheduling Team - Coordinating school events like Veteran's Day, Black History, and American Education Week - Presenting at industry conferences - Expertise in Georgia history, geography, civics, and economics - Strong knowledge and memory of important history dates, locations, and events"
Resume_2048," - Public Relations - Media Relations - PR - Advertising - Marketing - Budget - Direct Mail - Marketing Plan - Public Policy - Community Relations - Event Planning - Adobe Photoshop - Content Management Systems - InDesign - Microsoft Office - Ms Office - Operations - Photoshop - Quark XPress - Training - Video Production - Superb writer and editor - Trained in media relations and crisis communication - Print and electronic media - Deadline-driven - Exceptional problem solver - Compelling public speaker - Exceptional writing skills - SEO knowledge - Skilled multi-tasker - Focused and driven - Dedicated team player - Positive attitude - Excellent communicator - Firm grasp of Associated Press Stylebook - Social media communication (Facebook, Twitter, LinkedIn, Ello, Women.com, Instagram, tsu, MySpace, Google+)",None explicitly mentioned., - WordPress - Adobe Photoshop - Quark XPress - InDesign - Final Cut Pro - Microsoft Office Suite," - Public policy analysis - Managing multiple priorities - Communicating with the public, elected officials, media, and employees - Running communications and public relations efforts on hundreds of projects with minimal budgets - Developing and implementing innovative internal communications strategies to improve employee engagement - Tracking negative communication and developing strategies to address it - Devising optimal communications strategies to reach target audiences - Planning and publicizing events, including negotiating vendor contracts - Developing and implementing communication strategies and information programs - Analyzing public policy issues - Developing multi-media events - Assisting with planning and executing community meetings - Creating and implementing yearly Communication Plans - Managing crisis communications - Editing and revising marketing content to ensure high quality - Establishing effective working relationships with clients, government officials, and media representatives - Developing brand identity and tone for company communications - Evaluating advertising and promotion programs for compatibility with public relations efforts - Writing and designing effective sales communications collateral - Managing internal communications, including production and management of print and electronic newsletters - Researching and writing news stories and editorials - Copy editing for grammar, spelling, and accuracy - Designing and laying out daily pages, including the editorial page - Photographing events and editing photos - Managing the newsroom and other reporters - Gathering and verifying factual information through interviews, observation, and research - Introducing fresh angles on previously-reported material - Networking with industry leaders and experts - Covering breaking news - Simplifying complex topics through clear, concise, and compelling writing"
Resume_1942,"acquisitions, budget preparation, budgets, budget, cables, Cable, coaching, continuous improvement, CPR, customer service, documentation, drafting, engineer, filing, First Aid, forms, frame, inventory, Inventory Control, invoicing, marketing, materials, Meetings, office, win, monitors, Operations management, personnel, presentations, pricing, processes, Program Development, progress, Project Management, proposals, quality, Radio, Safety, Supervision, system design, technician, Telecommunications, telephony, Transmission, upgrade",None explicitly mentioned,"Alcatel/Lucent 8600, AutoCAD","OSP Aerial, Buried, Underground; Cell Site Construction; Copper/Fiber Splicing; Cable Maintenance; OSP Fault Locating; Union Meeting Organization; United Way Affiliate"
Resume_1749," - Microsoft Excel, Project and Visio - Adobe - Engineering standards - OSHA regulations - MS Office proficient - Competency in procedure development - Advanced anatomy knowledge - Advanced knowledge of embedded systems - Vast technical knowledge - Windows XP/Vista - DHCP/DNS Ethernet and Firewall proficient - LAN aptitude - Proficient in AVG, Printers, PC Security systems - Knowledge of manufacturing test methodologies - Database servers - Local remoter systems support - Proficiency in TCP/IP protocols - Information security - Document management - Excellent communication techniques - Self-starter - Team player - Patient and diligent - Keen eye for detail - Acutely observant - Excellent problem solving skills",None mentioned," - Philips, Hillrom, and Hugs Infant Security System - Oracle database - Computers and servers", - Knowledge of basic anatomy and physiology as applied to the use of biomedical equipment - Knowledge of color code conventions used in component and wiring marking - Ability to lift up to 100 lbs and push a cart up to 250 lbs - Ability to stand and walk for hours at a time
Resume_1842, - Timberline - MRI - YARDI - Peachtree - Peoplesoft - OneSite - QuickBooks - Microsoft Word - Microsoft Excel - Accounting Management - Cash Management - Account reconciliation - General accounting - Accounts payable - Accounts receivable - Auditing - Balance sheet - Reconciling bank statements - Billing - Budgets - Business plan - Cash flow - Conversion - Customer service - Database management - Editing - Financial forecasting - Financial management - Financial reporting - Financial statements - Fixed assets - General ledger - Government - Inventory - Job costing - Managing - Payroll - Problem-solving skills - Property management - Quality - Real estate - Reporting - Retail - Sales - Solomon - Tax preparation - Tax return preparation - Teamwork - Upgrade - Variance analysis,None mentioned, - Timberline - MRI - YARDI - Peachtree - Peoplesoft - OneSite - QuickBooks - Solomon, - Preparation and analysis of financial reports - Forecasting financial position - Driving efficiency and productivity - Implementing process improvements - Coordinating annual audits and government audits - Inventory system implementation - Percentage of completion reporting for revenue - Accounting system upgrades - Acquisitions and integration - Segregation of duties - Preparing audit papers - Cash flow statements - Variance analysis
Resume_2211," C, C++, core java, Oracle 9i, 10g, 11gRII, MS SQL Server-2005, IBM DB2, UML, HTML, XML, Windows 9X/XP/2000/2003 Server, Linux Red hat 5, SUSE 11, Rational Rose, MS Visio, MS Project, Oracle SQL Developer, Crystal Reports, Java Workflow Editor, Eclipse, Jboss, Tomcat5, 5.0.1.GA, IBM Websphere App Server 7, Oracle Enterprise Manager Console, SQL Developer, Power Builder 9.0, Finacle Ebanking Application, BI Base (Business Intelligence tool)", Completed Yes+ course with advance meditation techniques," Rational Rose, MS Visio, MS Project, Oracle SQL Developer, Crystal Reports, Java Workflow Editor, Eclipse, Jboss, Tomcat5, 5.0.1.GA, IBM Websphere App Server 7, Oracle Enterprise Manager Console, SQL Developer, Power Builder 9.0, Finacle Ebanking Application, BI Base (Business Intelligence tool)"," - Requirement Gathering, Requirement Analysis, Release management, Product management, Product implementation - BRS analysis, Feasibility analysis, Vendor management, Client handling, Product Management - Software Development Life Cycle (SDLC) management - Exposure to industry verticals such as Banking, Pharmaceuticals and Healthcare - Handling Application Owner responsibilities - Retail Internet Banking (RIB) for UK, Germany, Canada - Coordinating with Business, Development, Deployment, and Support teams - Preparing various project documents like Approach Document, System Test Cases, Release Documentation, Live Deployment documentation - Troubleshooting and responding to production issues - Vendor coordination and client requirement understanding - Received training on Information Security: Web / Mobile application threats"
